"","country","year","per_capita","m_xpense","gdp_share","r_average","per_capita_growth","m_xpense_growth","gdp_share_growth","r_average_growth"
"193","Taiwan",2002,340,7531,0.0243800136318356,7756.5,-6.33608815426997,-5.65021297920321,-8.20707995735787,-7.5671810760889
"194","Taiwan",2003,335,7473,0.0234545913821703,7502,-1.47058823529412,-0.770150046474572,-3.79582334792806,-3.28111906143235
"195","Taiwan",2004,349,7833,0.0224727781521333,7653,4.17910447761194,4.81734243275793,-4.1860172025139,2.01279658757665
"196","Taiwan",2005,354,8011,0.0213111703777213,7922,1.43266475644699,2.27243712498404,-5.16895493093179,3.51496145302496
"197","Taiwan",2006,336,7645,0.0196743876969812,7828,-5.08474576271187,-4.56871801273249,-7.68039789335625,-1.18656904822015
"198","Taiwan",2007,357,8157,0.0199820094785881,7901,6.25,6.69718770438195,1.56356470323161,0.932549821154829
"199","Taiwan",2008,391,8960,0.021473733836719,8558.5,9.52380952380952,9.84430550447468,7.46533705596198,8.32173142640172
"200","Taiwan",2009,396,9123,0.0232609094822731,9041.5,1.27877237851662,1.81919642857143,8.32261244897291,5.64351229771572
"201","Taiwan",2010,394,9092,0.0203764941522932,9107.5,-0.505050505050505,-0.339800504220103,-12.4002689240421,0.729967372670464
"202","Taiwan",2011,431,9998,0.0205829991196322,9545,9.39086294416244,9.96480422349318,1.0134469933619,4.80373318693385
"203","Taiwan",2012,451,10497,0.0211652953784728,10247.5,4.64037122969838,4.99099819963993,2.8290156135955,7.35987427972761
"204","Taiwan",2013,427,9964,0.0194278150634835,10230.5,-5.32150776053215,-5.07764123082786,-8.20910024604028,-0.165894120517199
"205","Taiwan",2014,419,9802,0.0184770607012097,9883,-1.87353629976581,-1.6258530710558,-4.89377914689319,-3.3967059283515
"206","Taiwan",2015,417,9803,0.0186645758522873,9802.5,-0.477326968973747,0.01020199959192,1.01485379146533,-0.814530001011838
"207","Taiwan",2016,421,9924,0.0186988607188985,9863.5,0.959232613908873,1.23431602570642,0.18368950295199,0.622290232083652
"208","Taiwan",2017,447,10569,0.018388310590398,10246.5,6.17577197149644,6.4993954050786,-1.66079705693863,3.88300299082476
